iter	Passed	Remaining
0	177	177166
1	199	99412
2	219	72916
3	237	59133
4	256	51001
5	273	45369
6	292	41500
7	311	38687
8	330	36359
9	351	34822
10	368	33089
11	386	31810
12	418	31764
13	501	35349
14	607	39864
15	632	38881
16	655	37890
17	678	37008
18	701	36225
19	721	35365
20	747	34834
21	765	34028
22	787	33462
23	810	32958
24	833	32518
25	857	32141
26	884	31888
27	907	31500
28	925	30987
29	949	30697
30	966	30199
31	986	29829
32	1005	29453
33	1023	29077
34	1040	28696
35	1059	28372
36	1078	28081
37	1097	27785
38	1118	27571
39	1135	27255
40	1154	26996
41	1173	26765
42	1191	26515
43	1209	26269
44	1228	26075
45	1246	25859
46	1262	25603
47	1281	25422
48	1299	25222
49	1315	24989
50	1333	24815
51	1353	24680
52	1370	24491
53	1394	24438
54	1412	24271
55	1429	24103
56	1449	23976
57	1465	23802
58	1518	24216
59	1536	24066
60	1553	23913
61	1571	23780
62	1589	23638
63	1606	23498
64	1624	23366
65	1641	23228
66	1660	23129
67	1677	22998
68	1697	22904
69	1716	22805
70	1734	22699
71	1756	22643
72	1775	22548
73	1793	22446
74	1814	22384
75	1835	22309
76	1854	22233
77	1874	22156
78	1893	22073
79	1916	22042
80	1936	21973
81	1957	21914
82	1975	21827
83	1996	21770
84	2014	21682
85	2030	21583
86	2053	21547
87	2071	21470
88	2090	21394
89	2113	21369
90	2138	21362
91	2154	21268
92	2174	21205
93	2192	21135
94	2213	21083
95	2229	20990
96	2247	20921
97	2267	20869
98	2285	20799
99	2302	20721
100	2321	20661
101	2339	20595
102	2358	20537
103	2374	20460
104	2395	20420
105	2414	20362
106	2434	20313
107	2452	20251
108	2469	20187
109	2492	20164
110	2509	20097
111	2528	20044
112	2549	20014
113	2568	19961
114	2586	19904
115	2603	19841
116	2623	19802
117	2643	19761
118	2665	19731
119	2684	19684
120	2703	19636
121	2722	19593
122	2742	19556
123	2763	19523
124	2788	19519
125	2827	19614
126	2854	19620
127	2884	19649
128	2923	19742
129	2954	19772
130	2990	19835
131	3017	19840
132	3052	19898
133	3074	19866
134	3097	19849
135	3130	19889
136	3180	20033
137	3208	20042
138	3225	19977
139	3243	19922
140	3264	19885
141	3279	19818
142	3298	19767
143	3314	19704
144	3331	19644
145	3356	19632
146	3374	19581
147	3397	19558
148	3418	19527
149	3439	19488
150	3460	19456
151	3491	19480
152	3512	19446
153	3550	19502
154	3568	19455
155	3607	19515
156	3641	19553
157	3659	19502
158	3701	19579
159	3727	19566
160	3778	19692
161	3800	19661
162	3838	19708
163	3877	19765
164	3924	19860
165	3952	19855
166	3973	19819
167	4028	19949
168	4063	19981
169	4089	19965
170	4111	19930
171	4160	20030
172	4459	21318
173	4549	21597
174	4577	21579
175	4598	21531
176	4615	21461
177	4648	21465
178	4670	21420
179	4707	21444
180	4736	21433
181	4755	21371
182	4779	21337
183	4803	21300
184	4899	21585
185	4967	21739
186	5096	22155
187	5140	22202
188	5178	22220
189	5201	22175
190	5220	22110
191	5239	22049
192	5259	21992
193	5278	21931
194	5295	21859
195	5313	21795
196	5334	21742
197	5351	21675
198	5369	21614
199	5391	21565
200	5409	21501
201	5429	21447
202	5448	21389
203	5466	21331
204	5489	21287
205	5511	21244
206	5528	21178
207	5548	21126
208	5567	21071
209	5586	21015
210	5602	20949
211	5621	20896
212	5641	20843
213	5659	20787
214	5679	20736
215	5698	20682
216	5718	20633
217	5740	20593
218	5763	20554
219	5785	20512
220	5802	20453
221	5825	20416
222	5851	20388
223	5880	20372
224	5908	20351
225	5938	20337
226	5969	20327
227	6004	20330
228	6032	20311
229	6062	20296
230	6084	20256
231	6094	20175
232	6112	20120
233	6132	20074
234	6151	20024
235	6169	19973
236	6187	19921
237	6212	19890
238	6235	19855
239	6258	19818
240	6301	19845
241	6348	19883
242	6396	19926
243	6422	19899
244	6478	19963
245	6500	19925
246	6542	19944
247	6564	19905
248	6590	19876
249	6658	19974
250	6698	19989
251	6751	20040
252	6779	20018
253	6824	20042
254	6854	20025
255	6876	19985
256	6904	19960
257	6927	19922
258	6951	19887
259	6981	19870
260	7002	19827
261	7023	19783
262	7043	19736
263	7064	19696
264	7085	19653
265	7103	19601
266	7121	19551
267	7145	19515
268	7180	19513
269	7248	19598
270	7267	19549
271	7288	19506
272	7304	19452
273	7326	19412
274	7347	19370
275	7532	19760
276	7550	19707
277	7566	19651
278	7588	19610
279	7606	19558
280	7646	19565
281	7679	19551
282	7739	19608
283	7774	19601
284	7809	19593
285	7847	19592
286	7877	19570
287	7916	19572
288	7950	19559
289	7982	19542
290	8365	20380
291	8930	21654
292	8949	21593
293	8968	21537
294	8994	21494
295	9017	21447
296	9045	21409
297	9082	21396
298	9106	21350
299	9145	21339
300	9176	21310
301	9203	21271
302	9224	21218
303	9242	21161
304	9269	21122
305	9320	21138
306	9341	21086
307	9380	21075
308	9401	21023
309	9428	20986
310	9471	20982
311	9573	21110
312	9611	21096
313	9628	21036
314	9652	20989
315	9669	20930
316	9686	20871
317	9712	20830
318	9731	20774
319	9753	20725
320	9773	20674
321	9798	20632
322	9846	20637
323	9865	20583
324	9888	20538
325	9924	20519
326	9960	20499
327	9980	20447
328	10002	20400
329	10028	20360
330	10051	20314
331	10080	20282
332	10096	20224
333	10116	20172
334	10135	20120
335	10153	20064
336	10169	20006
337	10188	19954
338	10204	19896
339	10220	19839
340	10244	19797
341	10263	19746
342	10284	19699
343	10300	19643
344	10325	19604
345	10345	19554
346	10369	19513
347	10390	19466
348	10408	19414
349	10425	19362
350	10444	19312
351	10466	19268
352	10483	19213
353	10502	19166
354	10520	19115
355	10536	19060
356	10561	19022
357	10581	18975
358	10598	18923
359	10621	18883
360	10640	18834
361	10656	18782
362	10676	18735
363	10691	18681
364	10709	18631
365	10725	18579
366	10742	18528
367	10769	18495
368	10794	18459
369	10812	18410
370	10832	18364
371	10852	18321
372	10870	18272
373	10893	18232
374	10910	18183
375	10929	18138
376	10948	18092
377	10965	18043
378	10983	17997
379	11002	17951
380	11024	17911
381	11043	17866
382	11062	17821
383	11079	17772
384	11096	17726
385	11117	17684
386	11134	17636
387	11150	17587
388	11170	17545
389	11187	17499
390	11209	17460
391	11228	17415
392	11246	17370
393	11264	17325
394	11278	17274
395	11297	17231
396	11315	17186
397	11331	17139
398	11352	17099
399	11370	17055
400	11387	17010
401	11404	16964
402	11423	16922
403	11441	16878
404	11461	16838
405	11479	16794
406	11497	16752
407	11517	16711
408	11532	16664
409	11546	16616
410	11561	16568
